Names,Tc,Pc,omega,M,Vc,Zc,vd,AlowT,BlowT,ClowT,DlowT,ElowT,FlowT,GlowT,AHigT,BHigT,CHigT,DHigT,EHigT,FHigT,GHigT,Tlow,Thig,Tmed,geometry,eps_kb,sigma,mu,alpha,Zrot
CH2,33.18,1300000.0,-0.216,0.014027,6.4935e-05,0.3059927525883247,20.52,3.76267867,0.000968872143,2.79489841e-06,-3.85091153e-09,1.68741719e-12,46004.0401,6.17119324,2.87410113,0.00365639292,-1.40894597e-06,2.60179549e-10,-1.87727567e-14,46263.604,6.17119324,200.0,3500.0,1000.0,1,144.0,3.8,0.0,0.0,0.0
CH2(S),33.18,1300000.0,-0.216,0.014027,6.4935e-05,0.3059927525883247,20.52,4.19860411,-0.00236661419,8.2329622e-06,-6.68815981e-09,1.94314737e-12,50496.8163,8.62650169,2.29203842,0.00465588637,-2.01191947e-06,4.17906e-10,-3.39716365e-14,50925.9997,8.62650169,200.0,3500.0,1000.0,1,144.0,3.8,0.0,0.0,0.0
CH3,33.18,1300000.0,-0.216,0.015035,6.4935e-05,0.3059927525883247,22.82,3.6735904,0.00201095175,5.73021856e-06,-6.87117425e-09,2.54385734e-12,16444.9988,8.48007179,2.28571772,0.00723990037,-2.98714348e-06,5.95684644e-10,-4.67154394e-14,16775.5843,8.48007179,200.0,3500.0,1000.0,1,144.0,3.8,0.0,0.0,0.0
CH4,33.18,1300000.0,-0.216,0.016042999999999998,6.4935e-05,0.3059927525883247,25.14,5.14987613,-0.0136709788,4.91800599e-05,-4.84743026e-08,1.66693956e-11,-10246.6476,18.437318,0.074851495,0.0133909467,-5.73285809e-06,1.22292535e-09,-1.0181523e-13,-9468.34459,18.437318,200.0,3500.0,1000.0,2,141.4,3.746,0.0,2.6,13.0
CO,33.18,1300000.0,-0.216,0.028,6.4935e-05,0.3059927525883247,22.01,3.57953347,-0.00061035368,1.01681433e-06,9.07005884e-10,-9.04424499e-13,-14344.086,7.81868772,2.71518561,0.00206252743,-9.98825771e-07,2.30053008e-10,-2.03647716e-14,-14151.8724,7.81868772,200.0,3500.0,1000.0,1,98.1,3.65,0.0,1.95,1.8
CO2,33.18,1300000.0,-0.216,0.044,6.4935e-05,0.3059927525883247,28.12,2.35677352,0.00898459677,-7.12356269e-06,2.45919022e-09,-1.43699548e-13,-48371.9697,2.27163806,3.85746029,0.00441437026,-2.21481404e-06,5.23490188e-10,-4.72084164e-14,-48759.166,2.27163806,200.0,3500.0,1000.0,1,244.0,3.763,0.0,2.65,2.1
HCO,33.18,1300000.0,-0.216,0.0290188,6.4935e-05,0.3059927525883247,24.32,4.22118584,-0.00324392532,1.37799446e-05,-1.33144093e-08,4.33768865e-12,3839.56496,9.79834492,2.77217438,0.00495695526,-2.48445613e-06,5.89161778e-10,-5.33508711e-14,4011.91815,9.79834492,200.0,3500.0,1000.0,2,498.0,3.59,0.0,0.0,0.0
CH2O,33.18,1300000.0,-0.216,0.030031,6.4935e-05,0.3059927525883247,26.63,4.79372315,-0.00990833369,3.73220008e-05,-3.79285261e-08,1.31772652e-11,-14308.9567,13.656323,1.76069008,0.00920000082,-4.42258813e-06,1.00641212e-09,-8.8385564e-14,-13995.8323,13.656323,200.0,3500.0,1000.0,2,498.0,3.59,0.0,0.0,2.0
CH2OH,33.18,1300000.0,-0.216,0.031034,6.4935e-05,0.3059927525883247,28.94,3.86388918,0.00559672304,5.93271791e-06,-1.04532012e-08,4.36967278e-12,-3193.91367,5.81043215,3.69266569,0.00864576797,-3.7510112e-06,7.87234636e-10,-6.48554201e-14,-3242.50627,5.81043215,200.0,3500.0,1000.0,2,417.0,3.69,1.7,0.0,2.0
CH3O,33.18,1300000.0,-0.216,0.031034,6.4935e-05,0.3059927525883247,28.94,2.106204,0.007216595,5.338472e-06,-7.377636e-09,2.07561e-12,978.6011,2.929575,3.770799,0.007871497,-2.656384e-06,3.944431e-10,-2.112616e-14,127.83252,2.929575,300.0,3000.0,1000.0,2,417.0,3.69,1.7,0.0,2.0
CH3OH,33.18,1300000.0,-0.216,0.032042,6.4935e-05,0.3059927525883247,0.0,5.71539582,-0.0152309129,6.52441155e-05,-7.10806889e-08,2.61352698e-11,-25642.7656,14.5023623,1.78970791,0.0140938292,-6.36500835e-06,1.38171085e-09,-1.1706022e-13,-25374.8747,14.5023623,200.0,3500.0,1000.0,2,481.8,3.626,0.0,0.0,1.0
C2H,33.18,1300000.0,-0.216,0.02503,6.4935e-05,0.3059927525883247,20.52,2.88965733,0.0134099611,-2.84769501e-05,2.94791045e-08,-1.09331511e-11,66839.3932,6.63589475,3.16780652,0.00475221902,-1.83787077e-06,3.04190252e-10,-1.7723277e-14,67121.065,6.63589475,200.0,3500.0,1000.0,1,209.0,4.1,0.0,0.0,2.5
